village_id,slug,name,country,lat,lng,date,pending,marker_type,portal_url
24,bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine,"Bohdanivka (Bogdanivka, Bogdanovka, Bogdanowka, Bogdanovca)",Ukraine,47.483582,31.090790,,0,3,http://www.yahadmap.org/en/bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine/village-24
24,bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine,"Bohdanivka (Bogdanivka, Bogdanovka, Bogdanowka, Bogdanovca)",Ukraine,47.485741,31.090851,,0,1,http://www.yahadmap.org/en/bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine/village-24
25,bogdanivka-bogdanovka-ternopil-ukraine,Bogdanivka (Bogdanovka),Ukraine,49.334808,26.007429,,0,1,http://www.yahadmap.org/en/bogdanivka-bogdanovka-ternopil-ukraine/village-25
,,Bohdanivske,Ukraine,47.420818,31.053110,,1,1,
27,bondarivka-bondariovka-mykolaiv-ukraine,Bondarivka (Bondariovka),Ukraine,47.168430,31.028891,,0,1,http://www.yahadmap.org/en/bondarivka-bondariovka-mykolaiv-ukraine/village-27
28,boremel-rivne-ukraine,Boremel,Ukraine,50.281750,25.121920,,0,2,http://www.yahadmap.org/en/boremel-rivne-ukraine/village-28
30,borshchiv-borszczow-borschov-ternopil-ukraine,"Borshchiv (Borszczów, Borschov)",Ukraine,48.483780,26.013670,,0,2,http://www.yahadmap.org/en/borshchiv-borszczow-borschov-ternopil-ukraine/village-30
31,bratslav-vinnytsia-ukraine,Bratslav,Ukraine,48.483700,28.544960,,0,1,http://www.yahadmap.org/en/bratslav-vinnytsia-ukraine/village-31
32,broshniv-osada-broszniow-osada-ivano-frankivsk-ukraine,Broshniv-Osada (Broszniów-Osada),Ukraine,48.599560,24.113220,,0,1,http://www.yahadmap.org/en/broshniv-osada-broszniow-osada-ivano-frankivsk-ukraine/village-32
34,buchach-buczacz-ternopil-ukraine,Buchach (Buczacz),Ukraine,49.033482,25.246679,,0,2,http://www.yahadmap.org/en/buchach-buczacz-ternopil-ukraine/village-34
35,busk-busik-bisik-lviv-ukraine,"Busk (Busik, Bisik)",Ukraine,49.580372,24.375719,,0,2,http://www.yahadmap.org/en/busk-busik-bisik-lviv-ukraine/village-35
,,Buzinovo,Ukraine,46.589130,30.292379,,1,1,
37,buzovarove-buzovarovo-bezovarovo-bezuvarovo-mykolaiv-ukraine,"Buzovarove (Buzovarovo, Bezovarovo, Bezuvarovo)",Ukraine,47.219231,31.254999,,0,1,http://www.yahadmap.org/en/buzovarove-buzovarovo-bezovarovo-bezuvarovo-mykolaiv-ukraine/village-37
38,cherevakha-czerewucha-volyn-ukraine,Cherevakha (Czerewucha),Ukraine,51.161659,25.261770,,0,2,http://www.yahadmap.org/en/cherevakha-czerewucha-volyn-ukraine/village-38
39,chornoplesy-volyn-ukraine,Chornoplesy,Ukraine,51.189629,24.159611,,0,1,http://www.yahadmap.org/en/chornoplesy-volyn-ukraine/village-39
40,chernyakhiv-cherniakhov-zhytomyr-ukraine,Chernyakhiv (Cherniakhov),Ukraine,50.267948,28.409210,,0,2,http://www.yahadmap.org/en/chernyakhiv-cherniakhov-zhytomyr-ukraine/village-40
,,Chervona Zirka,Ukraine,46.517811,32.397171,2006,1,1,
42,chervonoarmyiske-ozetovka-dnipropetrovsk-ukraine,Chervonoarmyiske (Ozetovka),Ukraine,47.577541,34.124371,,0,2,http://www.yahadmap.org/en/chervonoarmyiske-ozetovka-dnipropetrovsk-ukraine/village-42
42,chervonoarmyiske-ozetovka-dnipropetrovsk-ukraine,Chervonoarmyiske (Ozetovka),Ukraine,47.569759,34.119869,,0,2,http://www.yahadmap.org/en/chervonoarmyiske-ozetovka-dnipropetrovsk-ukraine/village-42
42,chervonoarmyiske-ozetovka-dnipropetrovsk-ukraine,Chervonoarmyiske (Ozetovka),Ukraine,47.550541,34.232471,,0,1,http://www.yahadmap.org/en/chervonoarmyiske-ozetovka-dnipropetrovsk-ukraine/village-42
43,chetvertnya-chetvernia-czetwiertnia-volyn-ukraine,"Chetvertnya (Chetvernia, Czetwiertnia)",Ukraine,51.029709,25.283880,,0,1,http://www.yahadmap.org/en/chetvertnya-chetvernia-czetwiertnia-volyn-ukraine/village-43
43,chetvertnya-chetvernia-czetwiertnia-volyn-ukraine,"Chetvertnya (Chetvernia, Czetwiertnia)",Ukraine,51.033909,25.274719,,0,1,http://www.yahadmap.org/en/chetvertnya-chetvernia-czetwiertnia-volyn-ukraine/village-43
,,Chyzhove (formerly Bernadovka),Ukraine,47.132961,30.458879,,1,1,
45,chkalove-chkalovo-kherson-ukraine,Chkalove (Chkalovo),Ukraine,47.064701,33.137699,,0,1,http://www.yahadmap.org/en/chkalove-chkalovo-kherson-ukraine/village-45
